Frames Analyzed,Elapsed Time (s),FPS
68,5.005504639,13.58505043178172
76,10.025252057,15.14111845242163
76,15.050629794,15.123872147458142
76,20.069495543,15.14353667536254
76,25.094583602,15.128999893974376
76,30.11682159,15.141673296310517
76,35.140130624,15.130229359069212
76,40.161358965,15.136394934055826
76,45.185326191,15.128156984580873
76,50.206047209,15.13855897456641
76,55.230160271,15.127802203940004
76,60.251121936,15.137171320671218
76,65.275524381,15.126794988982928
76,70.297206369,15.135003767608266
76,75.320967032,15.129770684901997
76,80.342621192,15.13510812704062
76,85.367210371,15.126231625197669
76,90.391295127,15.127754443614648
76,95.412649676,15.13748968487883
76,100.436309726,15.130034188952042
76,105.457471324,15.137300713118993
76,110.480492274,15.130931088366749
69,115.500027443,13.74782327675591
76,120.529169652,15.113597720056193
73,126.27540535,12.705858188753735
80,131.299145211,15.925390218876034
74,136.43962385,14.396092327188844
80,141.47972406,15.873221380841574
76,146.501
