nanoTime,sensorValue1,sensorValue2,sensorValue3,sensorValue4,sensorValue5,xPos,yPos,theta,rawAngle1,rawAngle2,xGyro,yGyro,zGyro,xAccel,yAccel,zAccel,Temp,Frame
1654210247195,3114,1411,1201,3139,1016,0.031051105,0.0051848916,-0.48254645,1558,3819,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.718689,36.53,0
1654268699922,3113,1408,1196,3137,1011,0.031071488,0.0051742145,-0.48228347,1558,3820,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.718689,36.53,0
1654270712533,3112,1406,1194,3136,1010,0.031071488,0.0051742145,-0.48228347,1558,3820,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.765564,36.53,0
1654272878550,3112,1405,1192,3135,1011,0.031051103,0.0051848865,-0.48254645,1558,3819,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.765564,36.53,0
1654274865439,3111,1409,1196,3136,1011,0.031071486,0.0051742094,-0.48228347,1558,3820,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.734314,36.53,0
1654276768737,3114,1412,1199,3138,1013,0.031051101,0.0051848814,-0.48254645,1558,3819,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.734314,36.53,0
1654278646572,3111,1411,1199,3136,1009,0.031051101,0.0051848814,-0.48254645,1558,3819,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.718689,36.53,0
1654280652572,3112,1409,1196,3138,1014,0.031071484,0.0051742042,-0.48228347,1558,3820,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.718689,36.53,0
1654283134901,3113,1408,1194,3137,1013,0.0310511,0.0051848763,-0.48254645,1558,3819,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,0
1654285164623,3112,1410,1195,3137,1013,0.0310511,0.0051848763,-0.48254645,1558,3819,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.718689,36.53,0
1654287336641,3112,1410,1196,3137,1012,0.0310511,0.0051848763,-0.48254645,1558,3819,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.718689,36.53,0
1654308698576,3130,1466,1252,3157,1087,0.031071449,0.005174093,-0.48228344,1558,3820,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.718689,36.53,0
1654311125683,3130,1466,1252,3160,1074,0.03103068,0.005195437,-0.48228344,1557,3819,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.734314,36.53,0
1654314100249,3129,1464,1250,3157,1081,0.03103068,0.005195437,-0.48228344,1557,3819,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,0
1654374887324,3129,1463,1247,3155,1078,0.031071449,0.005174093,-0.48228344,1558,3820,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,1
1654442343080,3127,1462,1247,3154,1074,0.031051064,0.005184765,-0.48254642,1558,3819,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.734314,36.53,0
1654505310969,3126,1462,1275,3154,1072,0.031030681,0.005195442,-0.48228344,1557,3819,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.718689,36.53,2
