Frames Analyzed,Elapsed Time (s),FPS
137,5.0282697,27.25226275836065
152,10.0679872,30.199621284828183
151,15.0682719,30.198632605915606
150,20.1004275,29.808591285124482
152,25.156686,30.062225048071376
151,30.210976,29.876118969475705
152,35.2526199,30.14926185482861
150,40.2541379,29.991271340389094
151,45.2839968,30.021703504622327
150,50.2881197,29.975541756459233
150,55.3352665,29.720385265750473
152,60.372654,30.17539487978341
150,65.372792,29.999646604163004
151,70.4046686,30.00914483973378
151,75.4062309,30.190933058983724
150,80.4378017,29.812845687398955
152,85.4932462,30.067119701674038
151,90.5489086,29.867914784188592
152,95.5881758,30.163550940532264
150,100.5888066,29.996717759142793
151,105.6364698,29.915186484041385
151,110.6763685,29.961256721936916
152,115.73179,30.067060226022797
151,120.7733895,29.951333248887764
152,125.8289237,30.066643903052324
151,130.8857692,29.861001192304297
152,135.9240765,30.16931875157533
150,140.9243928,29.998371688384754
151,145.9563472,30.008774486166313
150,150.9585969,29.98699823730427
151,156.0062338,29.917212337137183
151,161.0464751,29.959200529012023
152,166.101194,30.071292505895602
151,171.1587864,29.85641240603139
152,176.1963506,30.173690082694172
151,181.2016432,30.168592082155108
150,186.2286551,29.839337250018218
151,191.2325943,30.176722883036938
150,196.2599059,29.837337576971876
151,201.3165932,29.861938370852485
151,206.3167921,30.19926978165668
150,211.3488559,29.80918781171468
151,216.3498468,30.194293882342112
150,221.3813276,29.81282435607579
151,226.3848221,30.17973068927447
150,231.4120915,29.83756014531051
151,236.4138846,30.18944697691475
150,241.4670485,29.684871930260183
152,246.5046798,30.173291166423606
150,251.5102525,29.96687761017747
151,256.535135,30.050976605991355
152,261.5919372,30.058808476742197
151,266.6479094,29.86596589638978
152,271.6906643,30.142559632394036
150,276.6925275,29.989148126858815
150,281.7208573,29.831410171926173
151,286.7225627,30.189991414046418
150,291.7523276,29.82273426398953
151,296.7546172,30.18651689036575
150,301.8034149,29.710579146932815
